타임스탬프,What genre of music do you most likely to listen to?(Select 3 ),What kind of fashion style do you like the most? / 가장 좋아하는 패션 스타일은 무엇입니까? (Select 3 / 3가지 선택),What kind of art performances do you like the most? / 가장 좋아하는 공연은 무엇입니까?,What kind of art exhibitions do you like the most? / 가장 좋아하는 전시회는 무엇입니까?
2019. 11. 7 오후 11:52:38,"Pop (팝), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Vintage (빈티지룩)",Musicals (뮤지컬),Photography (사진)
2019. 11. 7 오후 11:54:24,"Pop (팝), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Theater (연극),Architecture (건축)
2019. 11. 8 오전 12:04:18,"Pop (팝), Ballad (발라드), Indie (인디)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Chic (시크룩)",Music Performances (음악),Architecture (건축)
2019. 11. 8 오전 12:10:38,"Pop (팝), Dance (댄스), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Chic (시크룩)",Theater (연극),Paintings (회화)
2019. 11. 8 오전 12:15:41,"Dance (댄스), Rap/ Hip Hop (랩/힙합), Rock / Metal (락/메탈)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Dance (댄스),"Paintings (회화), Sculptures (조각), Photography (사진), Art Design (디자인), Crafting (공예), Architecture (건축)"
2019. 11. 8 오전 1:20:01,"Pop (팝), Rap/ Hip Hop (랩/힙합), Indie (인디)","Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Techwear (테크웨어룩), Dandy (댄디룩)",Music Performances (음악),Architecture (건축)
2019. 11. 8 오전 2:14:48,"Pop (팝), Idol (아이돌), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Music Performances (음악),"Paintings (회화), Art Design (디자인), Crafting (공예)"
2019. 11. 8 오전 2:33:19,"Pop (팝), Idol (아이돌), Rap/ Hip Hop (랩/힙합)","Casual (캐주얼룩), Street (스트릿룩), Preppy (프레피룩)",Dance (댄스),"Photography (사진), Crafting (공예), Architecture (건축)"
2019. 11. 8 오전 5:46:31,"Pop (팝), Idol (아이돌), Rap/ Hip Hop (랩/힙합)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Dance (댄스),Photography (사진)
2019. 11. 8 오전 5:52:06,"Pop (팝), Idol (아이돌), Ballad (발라드)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Music Performances (음악),Architecture (건축)
2019. 11. 8 오전 10:52:27,"Pop (팝), Idol (아이돌), Ballad (발라드)","Chic (시크룩), Preppy (프레피룩), Bohemian (보헤미안룩)",Music Performances (음악),Architecture (건축)
2019. 11. 8 오후 12:05:53,"Ballad (발라드), R&B / Soul (R&B/소울), Chinese","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Food,Food
2019. 11. 8 오후 2:30:42,"Pop (팝), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Chic (시크룩), Grunge (그런지룩)",Dance (댄스),Architecture (건축)
2019. 11. 8 오후 3:40:38,"Pop (팝), Ballad (발라드), Indie (인디)","Street (스트릿룩), Vintage (빈티지룩), Bohemian (보헤미안룩)",Theater (연극),Paintings (회화)
2019. 11. 8 오후 3:41:21,"Idol (아이돌), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Vintage (빈티지룩), Dandy (댄디룩)",Music Performances (음악),Paintings (회화)
2019. 11. 8 오후 3:43:59,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Musicals (뮤지컬),Art Design (디자인)
2019. 11. 8 오후 3:45:27,"Pop (팝), Idol (아이돌), Rock / Metal (락/메탈)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Music Performances (음악),Architecture (건축)
2019. 11. 8 오후 3:51:28,"Pop (팝), Rap/ Hip Hop (랩/힙합), Indie (인디)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Music Performances (음악),Photography (사진)
2019. 11. 8 오후 3:51:58,"Pop (팝), Ballad (발라드), Rock / Metal (락/메탈)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Music Performances (음악),Architecture (건축)
2019. 11. 8 오후 3:53:58,"Pop (팝), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Athleisure (애스레저룩), Chic (시크룩)",Musicals (뮤지컬),Sculptures (조각)
2019. 11. 8 오후 3:55:09,"Pop (팝), Rock / Metal (락/메탈), EDM","Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Athleisure (애스레저룩), Street (스트릿룩)",Music Performances (음악),Art Design (디자인)
2019. 11. 8 오후 3:55:15,"Pop (팝), Idol (아이돌), Ballad (발라드)","Vintage (빈티지룩), Chic (시크룩), seethrough loom",영화,Photography (사진)
2019. 11. 8 오후 3:55:34,"Pop (팝), R&B / Soul (R&B/소울), Rock / Metal (락/메탈)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Musicals (뮤지컬),Crafting (공예)
2019. 11. 8 오후 3:55:39,"Idol (아이돌), Ballad (발라드), Rap/ Hip Hop (랩/힙합)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Music Performances (음악),Photography (사진)
2019. 11. 8 오후 3:55:53,"Pop (팝), Idol (아이돌), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Music Performances (음악),Paintings (회화)
2019. 11. 8 오후 3:56:29,"Ballad (발라드), Dance (댄스), Rap/ Hip Hop (랩/힙합)","Casual (캐주얼룩), Vintage (빈티지룩), Dandy (댄디룩)",Theater (연극),Photography (사진)
2019. 11. 8 오후 3:56:51,"Pop (팝), Rap/ Hip Hop (랩/힙합), Rock / Metal (락/메탈)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Music Performances (음악),Paintings (회화)
2019. 11. 8 오후 3:58:08,"Pop (팝), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Theater (연극),Photography (사진)
2019. 11. 8 오후 3:58:09,"Pop (팝), Dance (댄스), Indie (인디)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Music Performances (음악),Art Design (디자인)
2019. 11. 8 오후 3:58:38,"Pop (팝), Rap/ Hip Hop (랩/힙합), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Music Performances (음악),Photography (사진)
2019. 11. 8 오후 3:59:21,"Ballad (발라드), R&B / Soul (R&B/소울), Indie (인디)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Musicals (뮤지컬),Photography (사진)
2019. 11. 8 오후 3:59:48,"Idol (아이돌), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Musicals (뮤지컬),Architecture (건축)
